trap_name,lat,lon,trap_id,site,trap
A1,39.5874442,-78.7405028,1,A,1
A2,39.58752735,-78.7402547,2,A,2
A3,39.58767436,-78.73998036,3,A,3
A4,39.58775676,-78.73971733,4,A,4
A5,39.58781661,-78.73947929,5,A,5
A6,39.58788425,-78.73918315,6,A,6
A7,39.58790679,-78.73888845,7,A,7
A8,39.58794669,-78.73857345,8,A,8
C1,39.56192449,-78.71187785,9,C,1
C2,39.56172081,-78.71180383,10,C,2
C3,39.56145326,-78.71170484,11,C,3
C4,39.56125947,-78.71169663,12,C,4
C5,39.56106811,-78.71153503,13,C,5
C6,39.56092696,-78.71147828,14,C,6
C7,39.56076074,-78.71135591,15,C,7
C8,39.56053209,-78.71098652,16,C,8
C9,39.56052563,-78.71086959,17,C,9
C10,39.56039395,-78.71050187,18,C,10
D1,39.54075943,-78.66519785,19,D,1
D2,39.54073261,-78.66497766,20,D,2
D3,39.54064024,-78.66470793,21,D,3
D4,39.54059179,-78.66433779,22,D,4
D5,39.54053907,-78.66411776,23,D,5
D6,39.5404793,-78.66386907,24,D,6
D7,39.54049942,-78.66357369,25,D,7
D8,39.54041325,-78.66332299,26,D,8
E1,39.5406772,-78.6160224,27,E,1
E2,39.54047972,-78.61584739,28,E,2
E3,39.54033505,-78.61561638,29,E,3
E4,39.5403125,-78.61534607,30,E,4
E5,39.54020253,-78.61512654,31,E,5
E6,39.54011025,-78.61480879,32,E,6
E7,39.53998402,-78.61457753,33,E,7
E8,39.53993817,-78.61425416,34,E,8
E9,39.53988075,-78.61397554,35,E,9
E10,39.53985376,-78.6137152,36,E,10
E11,39.53989006,-78.6134096,37,E,11
E12,39.53987497,-78.61314464,38,E,12
E13,39.53979601,-78.61283795,39,E,13
E14,39.53986374,-78.61258306,40,E,14
F1,39.6186165,-78.73317811,41,F,1
F2,39.61836613,-78.73299161,42,F,2
F3,39.6182119,-78.73294677,43,F,3
F4,39.61795902,-78.73276949,44,F,4
F5,39.61775442,-78.73273165,45,F,5
F6,39.61754981,-78.7326938,46,F,6
F7,39.61730842,-78.73254628,47,F,7
G1,39.53229337,-78.59102782,48,G,1
G2,39.53219321,-78.59114768,49,G,2
G3,39.53190017,-78.59093713,50,G,3
G4,39.53166531,-78.59095749,51,G,4
G5,39.53152249,-78.59082003,52,G,5
G6,39.53136348,-78.59057427,53,G,6
G7,39.53116508,-78.59052331,54,G,7
H1,39.5600974,-78.7103676,55,H,1
H2,39.56000646,-78.71003643,56,H,2
H3,39.55994753,-78.70988321,57,H,3
I1,39.56265271,-78.71213232,58,I,1
I2,39.56241676,-78.7120765,59,I,2
I3,39.56220612,-78.71201145,60,I,3
J1,39.53993205,-78.60704002,61,J,1
J2,39.53993523,-78.60678957,62,J,2
J3,39.53990037,-78.60647877,63,J,3
J4,39.53987715,-78.60616093,64,J,4
J5,39.53988402,-78.6058772,65,J,5
J6,39.53988142,-78.6056063,66,J,6
J7,39.53987262,-78.60527965,67,J,7
J8,39.53990699,-78.60500657,68,J,8
J9,39.53986642,-78.60471387,69,J,9
J10,39.53984513,-78.60440827,70,J,10
K1,39.56518387,-78.72292528,71,K,1
K2,39.56501012,-78.72279645,72,K,2
K3,39.56487944,-78.72255396,73,K,3
K4,39.56479956,-78.72227677,74,K,4
K5,39.56469404,-78.72197603,75,K,5
K6,39.56471759,-78.72178861,76,K,6
K7,39.56475925,-78.72139106,77,K,7
K8,39.56467761,-78.72112786,78,K,8
K9,39.56466839,-78.72088864,79,K,9
K10,39.56458692,-78.72060223,80,K,10
L1,39.55197324,-78.69163379,81,L,1
L2,39.55188372,-78.69154561,82,L,2
L3,39.55172572,-78.6913312,83,L,3
L4,39.5515953,-78.69113834,84,L,4
L5,39.55146044,-78.69091915,85,L,5
L6,39.55132222,-78.69057859,86,L,6
L7,39.55121661,-78.69035035,87,L,7
L8,39.55110664,-78.69005498,88,L,8
L9,39.55100748,-78.6898062,89,L,9
L10,39.55091293,-78.68954569,90,L,10
M1,39.53100633,-78.58228549,91,M,1
M2,39.53082955,-78.58211467,92,M,2
M3,39.53079402,-78.58176271,93,M,3
M4,39.53075822,-78.58155141,94,M,4
M5,39.53067868,-78.58126005,95,M,5
M6,39.53061984,-78.58099502,96,M,6
M7,39.53047332,-78.58068195,97,M,7
M8,39.53041046,-78.58041591,98,M,8
M9,39.53044248,-78.58005708,99,M,9
M10,39.53030837,-78.57981007,100,M,10
M11,39.53017493,-78.57959859,101,M,11
M12,39.53010117,-78.57927564,102,M,12
N1,39.52493364,-78.5651036,103,N,1
N2,39.52454589,-78.56468341,104,N,2
N3,39.52450817,-78.5643929,105,N,3
N4,39.52445922,-78.56413289,106,N,4
N5,39.52448579,-78.56387196,107,N,5
N6,39.52441899,-78.56358144,108,N,6
N7,39.52445202,-78.56329478,109,N,7
N8,39.5244039,-78.56296169,110,N,8
N9,39.52444179,-78.56266958,111,N,9
N10,39.52437608,-78.56242751,112,N,10
O1,39.52330965,-78.54803285,113,O,1
O2,39.52322323,-78.54779522,114,O,2
O3,39.52326313,-78.54746028,115,O,3
O4,39.52323245,-78.54718108,116,O,4
O5,39.52326237,-78.54683298,117,O,5
O6,39.52318652,-78.5465956,118,O,6
O7,39.52317067,-78.54624909,119,O,7
O8,39.52312952,-78.545988,120,O,8
O9,39.52313807,-78.54581156,121,O,9
O10,39.52317017,-78.54550922,122,O,10